id,dzId,t,a,y,g,ai,dec,st
1339,11127925,Gozando y a lo Cubano,Charanga Habanera,,Cha cha cha,C,,pop
1340,1391847922,Morenita,Hugel,,Cumbia,H,,pop
1341,1617780862,El Sueno,Hugel,,Cumbia,H,,pop
1342,4005462181,Dime Que Me Hiciste,Pipe Bueno,,Cumbia,P,,pop
1343,2786215632,"Perdonarte, ¿Para Qué?",Los Angeles Azules,,Cumbia,L,,pop
1344,3911083721,Vuelve,Ricky Martin,,Cumbia,R,,pop
1345,78538602,Cómo Te Voy A Olvidar,Los Angeles Azules,,Cumbia,L,,pop
1346,686540232,Amor a Primera Vista,Los Angeles Azules,,Cumbia,L,,pop
1347,4010230661,De la A a la Z,Ke personajes,,Cumbia,K,,pop
1348,2387974225,El Amor de Mi Vida,Los Angeles Azules,,Cumbia,L,,pop
1349,497423272,Nunca Es Suficiente,Los Angeles Azules,,Cumbia,L,,pop
1350,1525648102,Otra Noche,Los Angeles Azules,,Cumbia,L,,pop
1351,3319217761,Carteras Chinas,Elena Rose,,Cumbia,E,,pop
1352,497423352,"Ni Contigo, Ni Sin Ti",Los Angeles Azules,,Cumbia,L,,pop
1353,1007694382,Ella Se Olvidó de Mí,Los Angeles Azules,,Cumbia,L,,pop
1354,1739730157,Una Mujer Como Tú,Luciano Pereyra,,Cumbia,L,,pop
1355,548062002,Mi Niña Mujer,Los Angeles Azules,,Cumbia,L,,pop
1356,645160212,El Listón de Tu Pelo,Los Angeles Azules,,Cumbia,L,,pop
1357,3960895531,Por Ella,Los Angeles Azules,,Cumbia,L,,pop
1358,262222,Mérengué,Max Ransay,,Merengue,M,,pop
1359,3207796681,El Farolito,Yas Cepeda,,Merengue,Y,,pop
1360,1857194817,Me Enamoro de Ella,Juan Luis Guerra,,Merengue,J,,pop
1361,1899932027,De Tu Boca,Juan Luis Guerra,,Merengue,J,,pop
1362,1899932117,Si Tú Te Vas,Juan Luis Guerra,,Merengue,J,,pop
1363,1696098257,El Niágra En Bicicleta,Juan Luis Guerra,,Merengue,J,,pop
1364,1696098287,La Guagua,Juan Luis Guerra,,Merengue,J,,pop
1365,1899938147,La Cosquillita,Juan Luis Guerra,,Merengue,J,,pop
1366,1899931737,La Gallera,Juan Luis Guerra,,Merengue,J,,pop
1367,2782813252,Elena,Juan Luis Guerra,,Merengue,J,,pop
1368,2782813162,Por Eso Ahora,Juan Luis Guerra,,Merengue,J,,pop
1369,2782813402,Oficio de Enamorado,Juan Luis Guerra,,Merengue,J,,pop
1370,1899932047,Canto de Hacha,Juan Luis Guerra,,Merengue,J,,pop
1371,1899938577,Woman del Callao,Juan Luis Guerra,,Merengue,J,,pop
1372,122429730,No Me Das a Mí,Nouna,,Flamenco,N,,flamenco
1373,122429732,Si Me Quieres,Nouna,,Flamenco,N,,flamenco
1374,122429726,Dime,Nouna,,Flamenco,N,,flamenco
1375,122429728,A Caracol,Nouna,,Flamenco,N,,flamenco
1376,122429736,Pueblo Gitano,Nouna,,Flamenco,N,,flamenco
1377,122429722,Gitana Morena,Nouna,,Flamenco,N,,flamenco
1378,122429734,Hoy el Mundo No Se Va Acabar,Nouna,,Flamenco,N,,flamenco
1379,40485311,Cucaracha Twist,Pedro Iturralde,,Flamenco,P,,flamenco
1380,122429738,Una Rosa Pa Mi Niña,Nouna,,Flamenco,N,,flamenco
1381,141822209,Catalina,ROSALÍA,,Flamenco,R,,flamenco
1382,555188242,QUE NO SALGA LA LUNA,ROSALÍA,,Flamenco,R,,flamenco
1383,2983091311,Vengo Pa Quedarme,Diego Guerrero,,Rumba flamenca,D,,flamenco
1384,1236513612,Ingobernable,C. Tangana,,Rumba flamenca,C,,flamenco
1385,958716372,Volare (Nel Blu di Pinto di Blu),Gipsy Kings,,Rumba flamenca,G,,flamenco
1386,958647812,Bamboléo,Gipsy Kings,,Rumba flamenca,G,,flamenco
1387,958647872,A Mi Manera (Comme D'Habitude),Gipsy Kings,,Rumba flamenca,G,,flamenco
1388,958647852,Un Amor,Gipsy Kings,,Rumba flamenca,G,,flamenco
1389,958716392,"Djobi, Djoba",Gipsy Kings,,Rumba flamenca,G,,flamenco
1390,3544428411,Me gusta mi novia,Manolo Escobar,,Copla,M,,balada
1391,479460272,Copacabana,Barry Manilow,,Copla,B,,balada
1392,15263685,Déjala Correr,Rocio Jurado,,Copla,R,,balada
1393,1005231,Como una Ola,Rocio Jurado,,Copla,R,,balada
1394,68446500,Se Nos Rompió El Amor,Rocio Jurado,,Copla,R,,balada
1395,14393472,Ese Hombre,Rocio Jurado,,Copla,R,,balada
1396,3924418631,Mi Amante Amigo,Rocio Jurado,,Copla,R,,balada
1397,3288390,¿Quién te crees que eres tú?,Rocio Jurado,,Copla,R,,balada
1398,1006711,Muera el Amor,Rocio Jurado,,Copla,R,,balada
1399,2242047247,Me Ha Dicho La Luna,Rocio Jurado,,Copla,R,,balada
1400,124989972,Como una Ola,Rocio Jurado,,Copla,R,,balada
1401,3090777,Yo soy aquél,Raphael,,Pop,R,,pop
1402,9832152,Como yo te amo,Raphael,,Pop,R,,pop
1403,3090783,Digan lo que digan,Raphael,,Pop,R,,pop
1404,3090787,Cuando tú no estás,Raphael,,Pop,R,,pop
1405,72217869,Me Olvide De Vivir,Julio Iglesias,,Pop,J,,pop
1406,75820477,"Me Va, Me Va",Julio Iglesias,,Pop,J,,pop
1407,72217868,"Soy un Truhán, Soy un Señor",Julio Iglesias,,Pop,J,,pop
1408,75820480,Hey,Julio Iglesias,,Pop,J,,pop
1409,72217883,Baila Morena,Julio Iglesias,,Pop,J,,pop
1410,561327,Quijote,Julio Iglesias,,Pop,J,,pop
