id,dzId,t,a,y,g,ai,dec,st
1595,1533370022,Hip Hop,Neon Steve,,Hip hop,N,,hiphop
1596,2885670872,Afro Beat,OldPlay,,Afrobeat,O,,pop
1597,78527795,Counting Stars,OneRepublic,,Country,O,,pop
1598,1682052317,Afro Beat,Oneness of Juju,,Afrobeat,O,,pop
1599,61405053,Gangnam Style Instrumental 1,PSY-CO-BILLY,,K-pop,P,,kpop
1600,3857972321,Gangam Style x Give Me Everything,PSYXION,,K-pop,P,,kpop
1601,2485507291,Hip-Hop,PaceWon & Mr. Green,,Hip hop,P,,hiphop
1602,3559489571,Tech-No,Patrick Cowley,,Techno,P,,pop
1603,3788697762,Que Delícia,Pedro Paulo & Alex,,Country,P,,pop
1604,144735122,Skunk,Planet Hemp,,Ska punk,P,,pop
1605,3278625191,K POP,Playboi Carti,,K-pop,P,,kpop
1606,3660640832,Afro Beat,Pogány Induló,,Afrobeat,P,,pop
1607,141430711,Vida de Deus,Pr. Guilherme Camargo,,Reggae,P,,pop
1608,2007404467,Daddy + Gangnam Style,Psy,,K-pop,P,,kpop
1609,62439404,Gangnam Style / 2 Legit 2 Quit Mashup,Psy,,K-pop,P,,kpop
1610,69858535,Gangnam Style,Psych,,K-pop,P,,kpop
1611,61208439,Gangnam Style,Psycho,,K-pop,P,,kpop
1612,568120962,Killer Queen,Queen,,Rock clàssic,Q,,rock
1613,568120932,Somebody To Love,Queen,,Rock clàssic,Q,,rock
1614,1306700592,Bohemian Rhapsody / Radio Ga Ga,Queen,,Rock clàssic,Q,,rock
1615,3906248291,Hip Hop,R3versal,,Hip hop,R,,hiphop
1616,3835893571,OUI,RnBoi,,R&B Soul,R,,funk
1617,141456937,My Forbidden Lover,Romina Johnson,,Disco,R,,pop
1618,1971020677,Lucky Star,Ron Carroll,,Disco,R,,pop
1619,126559151,In Die Kol,Rooies,,Indie folk,R,,pop
1620,1851897107,Hip-Hop,"Royce da 5'9""",,Hip hop,R,,hiphop
1621,3412534621,Free,Rumi,,K-pop,R,,kpop
1622,3126439121,Mwen An Sa,SKUNK,,Ska punk,S,,pop
1623,3531066331,Soda Pop,Saja Boys,,K-pop,S,,kpop
1624,509341182,Don't Let Me Be Misunderstood,Santa Esmeralda,,Disco,S,,pop
1625,1064961632,Hip Hop (Caminaré),Santa Fe Klan,,Hip hop,S,,hiphop
1626,136341512,No Lie,Sean Paul,,Dancehall,S,,pop
1627,460566002,Mad Love,Sean Paul,,Dancehall,S,,pop
1628,364292561,Get Busy,Sean Paul,,Dancehall,S,,pop
1629,662729,Temperature,Sean Paul,,Dancehall,S,,pop
1630,653790782,Contra La Pared,Sean Paul,,Dancehall,S,,pop
1631,16944546,She Doesn't Mind,Sean Paul,,Dancehall,S,,pop
1632,3957322,(When You Gonna) Give It Up to Me,Sean Paul,,Dancehall,S,,pop
1633,100903790,What If?,Sebastian Ledher,,Afrobeat,S,,pop
1634,2729329821,Fun Stop,Shane E,,Funk,S,,funk
1635,684590472,Dally,Shevchenko e Elloco,,Funk,S,,funk
1636,118986142,Cheap Thrills (feat. Sean Paul),Sia,,Dancehall,S,,pop
